time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C)
2018-12-01T00:00,20.1,13.3,15.9,18.1,10.5,14
2018-12-02T00:00,20.1,12,15.3,19.1,9.1,13.5
2018-12-03T00:00,18.3,8.5,14.1,16.6,5.8,12.2
2018-12-04T00:00,18.8,11.7,15.5,17,10.8,14.2
2018-12-05T00:00,18.8,11.4,14.9,17.6,9.8,13.4
2018-12-06T00:00,17.5,10.6,13.6,15.8,8,11.9
2018-12-07T00:00,17.7,7.7,13.3,15.4,4.9,11.2
2018-12-08T00:00,17.8,9.2,14.4,15.7,6.1,12.5
2018-12-09T00:00,17.1,8.8,13.4,16.1,6.4,11.9
2018-12-10T00:00,11.9,8.9,10.8,9.7,6.1,8.3
2018-12-11T00:00,14.4,7.5,10.7,12.4,5.2,8.8
2018-12-12T00:00,14.8,7.4,10.6,12.8,4.8,8.7
2018-12-13T00:00,13.9,7.1,10.1,11.5,4.5,7.9
2018-12-14T00:00,14.1,6.1,9.6,11.3,2.9,6.9
2018-12-15T00:00,14.6,5.8,9.6,11.9,1.5,6.4
2018-12-16T00:00,15.6,6.3,10.2,12.9,1.8,6.9
2018-12-17T00:00,15.7,6.3,10.4,12.7,2.1,7.2
2018-12-18T00:00,16.1,6.4,11.2,13.4,2.1,8.2
2018-12-19T00:00,17.8,11.4,14.4,15.9,9,12.4
2018-12-20T00:00,16.4,7.5,11.8,14.2,4.8,9.6
2018-12-21T00:00,16.1,5.3,10.5,13.3,1.6,7.3
2018-12-22T00:00,15.9,4.7,10.7,14.2,0.7,7.7
2018-12-23T00:00,15.4,7.3,11,13.4,4.4,8.4
2018-12-24T00:00,14.1,5,9,11,1.3,5.9
2018-12-25T00:00,14,6.9,10.1,11.1,3.3,7.2
2018-12-26T00:00,12.9,8.4,10.8,10.5,5.1,8.3
2018-12-27T00:00,13,5.9,9.3,10.1,2.9,6.2
2018-12-28T00:00,14.1,4.6,9.4,11.7,0.2,6.2
2018-12-29T00:00,14.1,2.7,10,11.3,-1.4,7.2
2018-12-30T00:00,15,8.6,12,12.8,5.7,9.8
2018-12-31T00:00,15.6,4.5,10.5,12.9,0.9,7.9
2019-01-01T00:00,15,6.3,10.9,11.8,3.5,8.2
2019-01-02T00:00,14.2,7.7,10.6,12.8,5.8,8.7
2019-01-03T00:00,14.2,5.7,9.8,11.2,2,6.9
2019-01-04T00:00,11.2,6,8.6,8.9,3,6
2019-01-05T00:00,10.2,6.6,8.1,8.4,4.1,6
2019-01-06T00:00,13.4,5.2,8.7,10.9,2.3,6.1
2019-01-07T00:00,13.9,5.8,8.9,11,2.6,6.3
2019-01-08T00:00,12.9,5.8,9.1,10,3,6.1
2019-01-09T00:00,13.9,5.3,9.2,10.7,1.1,5.9
2019-01-10T00:00,11,5.6,8.5,8.5,2.4,5.7
2019-01-11T00:00,13.5,6.8,9.4,11.8,4.4,7.4
2019-01-12T00:00,11.1,6.2,8.9,8.5,3.6,6.3
2019-01-13T00:00,12.2,5,8.1,9.3,2.2,5.4
2019-01-14T00:00,12.5,3.8,7.6,8.6,-0.4,3.9
2019-01-15T00:00,15,3.9,9.4,12,-0.3,6.2
