time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),precipitation_probability_max (%),wind_speed_10m_max (km/h)
02/06/2024,41,25.9,40.6,24.5,0.00,0.00,0.00,0.00,11.50
03/06/2024,41.6,26.7,42.2,24.8,0.00,0.00,0.00,0.00,14.00
04/06/2024,38.4,26.2,40.6,25.2,0.80,0.00,3.00,13.00,26.10
05/06/2024,34.2,24.3,32.6,23.3,3.70,0.00,6.00,100.00,28.10
06/06/2024,35,21.6,36.9,21.7,1.80,0.00,6.00,88.00,22.80
07/06/2024,34.8,22.3,37.5,22.5,0.00,0.00,0.00,35.00,14.80
08/06/2024,35.8,23.3,37,22.7,0.00,0.00,0.00,13.00,10.90
09/06/2024,37,24.2,36.3,22.8,0.00,0.00,0.00,0.00,14.40
10/06/2024,39.5,24.4,39.2,23.1,0.00,0.00,0.00,0.00,11.70
11/06/2024,40.4,26.1,40.8,25,0.00,0.00,0.00,0.00,10.90
12/06/2024,41,27,42.7,26,0.40,0.00,1.00,0.00,11.40
13/06/2024,40.9,29.5,42.6,28.2,0.50,0.00,4.00,0.00,16.60
14/06/2024,40.9,28.9,42.2,27.5,0.40,0.00,2.00,0.00,14.30
15/06/2024,40.1,29.3,41.7,28.1,0.40,0.00,2.00,10.00,15.10
16/06/2024,42.6,28,42.9,27.5,0.00,0.00,0.00,0.00,13.60
17/06/2024,42.3,28.9,43.2,28.3,0.70,0.00,4.00,0.00,13.80
18/06/2024,41.2,28.6,43.7,27.7,1.50,0.00,3.00,71.00,18.40
19/06/2024,41.3,27.2,43.3,27.4,1.20,0.00,5.00,6.00,13.10
20/06/2024,37.1,26.3,39.8,26.1,0.30,0.00,1.00,87.00,14.80
21/06/2024,33.4,23.3,35.4,24.5,0.50,0.00,3.00,87.00,11.90
22/06/2024,37.6,25.3,39.7,26.8,1.20,0.00,7.00,58.00,19.20
23/06/2024,38.6,27.4,40.8,27.2,1.10,0.00,8.00,61.00,17.20
24/06/2024,40.2,26.6,42.2,27.3,0.00,0.00,0.00,10.00,9.70
25/06/2024,40.5,28.1,42.2,28.5,0.00,0.00,0.00,0.00,10.50
26/06/2024,42.2,28.6,44.5,29.3,0.00,0.00,0.00,0.00,12.30
27/06/2024,37.6,30,41.4,32.8,1.30,0.00,5.00,71.00,20.40
28/06/2024,37.8,25.5,41.8,28.2,1.40,0.00,2.00,68.00,13.20
29/06/2024,37,27.7,42.1,30.8,1.30,0.00,6.00,48.00,13.20
30/06/2024,36.5,26.8,40.9,32.3,1.60,0.00,4.00,97.00,12.20
01/07/2024,35.6,26.6,41,30.5,2.30,0.00,7.00,100.00,14.10
02/07/2024,36.1,26.5,42.5,31.7,23.40,0.00,8.00,100.00,12.50
03/07/2024,38.1,27.4,45,33.3,1.80,0.00,2.00,13.00,16.60
04/07/2024,32.1,26.1,36.7,31.5,15.70,0.40,6.00,84.00,16.70
05/07/2024,30.2,25.1,34.1,29.5,12.40,0.00,14.00,100.00,12.40
06/07/2024,31.2,23.9,34.9,28.2,7.20,0.00,7.00,100.00,9.70
07/07/2024,31.8,23.8,35.1,28.7,3.00,0.00,12.00,71.00,16.00
08/07/2024,31.5,24.4,35.3,29.4,0.00,0.00,0.00,19.00,17.90
09/07/2024,34.9,25.2,39.4,30.4,0.00,0.00,0.00,10.00,9.90
